hotel_name,Category,Full_Addr,Addr,City,State,Zipcode,Stars,Num_Reviews,url,lat,lng
Courtyard Aberdeen at Ripken Stadium,4,"830 Long Drive Aberdeen, Maryland 21001",830 Long Drive,Aberdeen,MD, 21001,4.2,388,https://cache.marriott.com/marriottassets/marriott/BWIBD/bwibd-lobby-0019-hor-feat.jpg?resize=375:150 undefined,39.5320936,-76.1859361
Fairfield Inn & Suites Aberdeen,2,"2901 6th Avenue SE Aberdeen, South Dakota 57401",2901 6th Avenue SE,Aberdeen,SD, 57401,NULL,NULL,https://cache.marriott.com/marriottassets/marriott/FN/ffi-main01-0001-hor-feat.jpg?resize=375:150 undefined,45.4597244,-98.4473775
Residence Inn Aberdeen at Ripken Stadium,4,"830 Long Drive Aberdeen, Maryland 21001",830 Long Drive,Aberdeen,MD, 21001,4.5,284,https://cache.marriott.com/marriottassets/marriott/BWIDE/bwide-lobby-0024-hor-feat.jpg?resize=375:150 undefined,39.5320936,-76.1859361
TownePlace Suites Aberdeen,2,"402 Norwood Street South Aberdeen, South Dakota 57401",402 Norwood Street South,Aberdeen,SD, 57401,4.6,229,https://cache.marriott.com/marriottassets/marriott/ABRTS/abrts-exterior-0001-hor-feat.jpg?resize=375:150 undefined,45.4606479,-98.4457259
TownePlace Suites Southern Pines Aberdeen,2,"205 Columbus Drive Aberdeen, North Carolina 28315",205 Columbus Drive,Aberdeen,NC, 28315,4.8,210,NULL,35.1560996,-79.4208489
Courtyard Abilene Northeast,2,"2141 Scottish Road Abilene, Texas 79601",2141 Scottish Road,Abilene,TX, 79601,4.7,241,NULL,32.4739667,-99.6881551
Courtyard Abilene Southwest/Abilene Mall South,2,"4350 Ridgemont Drive Abilene, Texas 79606",4350 Ridgemont Drive,Abilene,TX, 79606,4.3,471,NULL,32.3983261,-99.7655347
Fairfield Inn & Suites Abilene,2,"3902 Turner Plaza Drive Abilene, Texas 79606",3902 Turner Plaza Drive,Abilene,TX, 79606,4.3,378,NULL,32.4041522,-99.7646689
Residence Inn Abilene,2,"1641 Musgrave Blvd Abilene, Texas 79601",1641 Musgrave Blvd,Abilene,TX, 79601,4.6,439,NULL,32.4738575,-99.6906442
TownePlace Suites Abilene Northeast,2,"2141 Scottish Road Abilene, Texas 79601",2141 Scottish Road,Abilene,TX, 79601,4.8,270,NULL,32.4739667,-99.6881551
Fairfield Inn & Suites Abingdon,2,"923 East Main Street Abingdon, Virginia 24210",923 East Main Street,Abingdon,VA, 24210,4.8,275,NULL,36.714666,-81.9382478
Fairfield Inn & Suites Atlanta Acworth,3,"3508 Baker Road Acworth, Georgia 30101",3508 Baker Road,Acworth,GA, 30101,4.5,220,NULL,34.076517,-84.6520645
Courtyard Dallas Addison/Midway,2,"4165 Proton Drive Addison, Texas 75001",4165 Proton Drive,Addison,TX, 75001,4.4,488,NULL,32.9463462,-96.8407531
Courtyard Dallas Addison/Quorum Drive,2,"15160 Quorum Drive Addison, Texas 75001",15160 Quorum Drive,Addison,TX, 75001,4.4,630,NULL,32.9556367,-96.8254697
Renaissance Dallas Addison Hotel,3,"15201 Dallas Parkway Addison, Texas 75001",15201 Dallas Parkway,Addison,TX, 75001,3.9,147,NULL,32.9565487,-96.8232089
SpringHill Suites Dallas Addison/Quorum Drive,2,"15255 Quorum Dr. Addison, Texas 75001",15255 Quorum Dr.,Addison,TX, 75001,4.4,511,NULL,32.9569885,-96.8271863
Fairfield Inn & Suites Afton Star Valley,4,"53 East 1st Avenue Afton, Wyoming 83110",53 East 1st Avenue,Afton,WY, 83110,4.7,212,NULL,42.7316948,-110.9315003
Courtyard Thousand Oaks Agoura Hills,4,"29505 Agoura Road Agoura Hills, California 91301",29505 Agoura Road,Agoura Hills,CA, 91301,NULL,NULL,NULL,34.1454231,-118.7691643
Sheraton Agoura Hills Hotel,4,"30100 Agoura Road Agoura Hills, California 91301",30100 Agoura Road,Agoura Hills,CA, 91301,3.9,498,NULL,34.1442971,-118.7792827
TownePlace Suites Thousand Oaks Agoura Hills,4,"29505 Agoura Road Agoura Hills, California 91301",29505 Agoura Road,Agoura Hills,CA, 91301,NULL,NULL,NULL,34.1454231,-118.7691643
Fairfield Inn & Suites Aiken,5,"185 Colony Parkway Aiken, South Carolina 29803",185 Colony Parkway,Aiken,SC, 29803,4.6,321,NULL,33.5358692,-81.7225015
TownePlace Suites Aiken Whiskey Road,4,"1008 Monterey Drive Aiken, South Carolina 29803",1008 Monterey Drive,Aiken,SC, 29803,4.4,276,NULL,33.5185869,-81.7148908
Courtyard Akron Downtown,3,"41 Furnace Street Akron, Ohio 44308",41 Furnace Street,Akron,OH, 44308,4.4,455,NULL,41.0888061,-81.5150246
Courtyard Akron Fairlawn,2,"100 Springside Drive Akron, Ohio 44333",100 Springside Drive,Akron,OH, 44333,4.4,242,NULL,41.1380579,-81.6470655
Fairfield Inn & Suites Akron Fairlawn,2,"208 Springside Drive Akron, Ohio 44333",208 Springside Drive,Akron,OH, 44333,4.4,276,NULL,41.1409995,-81.6461884
Fairfield Inn & Suites Akron South,2,"1025 Interstate Parkway Akron, Ohio 44312",1025 Interstate Parkway,Akron,OH, 44312,4.6,375,NULL,40.9793134,-81.4854204
Residence Inn Akron South/Green,2,"897 Arlington Ridge East Akron, Ohio 44312",897 Arlington Ridge East,Akron,OH, 44312,4.6,343,NULL,40.9838368,-81.4905519
Fairfield Inn & Suites Alamogordo,2,"300 Panorama Boulevard Alamogordo, New Mexico 88310",300 Panorama Boulevard,Alamogordo,NM, 88310,4.1,320,NULL,32.8755416,-105.9586503
Fairfield Inn & Suites Alamosa,3,"721 Mariposa Street Alamosa, Colorado 81101",721 Mariposa Street,Alamosa,CO, 81101,4.8,302,NULL,37.4820586,-105.9080762
Courtyard Albany,3,"3019 Kensington Court Albany, Georgia 31721",3019 Kensington Court,Albany,GA, 31721,4.2,336,NULL,31.6206701,-84.2298143
Courtyard Albany Airport,2,"227 Wolf Road Albany, New York 12205",227 Wolf Road,Albany,NY, 12205,NULL,NULL,NULL,42.7262426,-73.7966187
Courtyard Albany Thruway,3,"1455 Washington Avenue Albany, New York 12206",1455 Washington Avenue,Albany,NY, 12206,4.4,349,NULL,42.6903475,-73.8202996
Fairfield Inn & Suites Albany,3,"3011 Kensington Court Albany, Georgia 31721",3011 Kensington Court,Albany,GA, 31721,4.5,394,NULL,31.6205441,-84.228991
Fairfield Inn & Suites Albany Airport,2,"168 Wolf Road Albany, New York 12205",168 Wolf Road,Albany,NY, 12205,4.2,37,NULL,42.7221912,-73.8039969
Fairfield Inn & Suites Albany Downtown,3,"74 State Street Albany, New York 12207",74 State Street,Albany,NY, 12207,4.4,314,NULL,42.6491623,-73.7524514
Fairfield Inn Albany University Area,2,"1383 Washington Avenue Albany, New York 12206",1383 Washington Avenue,Albany,NY, 12206,4.1,372,NULL,42.6876626,-73.8151728
Marriott Albany,4,"189 Wolf Road Albany, New York 12205",189 Wolf Road,Albany,NY, 12205,4.3,808,https://www.marriott.com/Images/Brands/MHR/Multimedia/MH-Badge-EN-450x85[1].png undefined undefined,42.7208681,-73.7997577
Renaissance Albany Hotel,4,"144 State Street Albany, New York 12207",144 State Street,Albany,NY, 12207,4.6,508,NULL,42.6508694,-73.7555119
Residence Inn Albany Airport,2,"227 Wolf Road Albany, New York 12205",227 Wolf Road,Albany,NY, 12205,NULL,NULL,NULL,42.7262426,-73.7966187
Residence Inn Albany Washington Avenue,2,"124 Washington Avenue Extension Albany, New York 12203",124 Washington Avenue Extension,Albany,NY, 12203,4.6,492,NULL,42.6925566,-73.8500846
SpringHill Suites Albany-Colonie,2,"8 California Avenue Albany, New York 12205",8 California Avenue,Albany,NY, 12205,4.4,425,https://cache.marriott.com/marriottassets/marriott/ALBCO/albco-lobby-0025-hor-feat.jpg?resize=375:150 undefined,42.7039494,-73.8153093
TownePlace Suites Albany,3,"3014 Kensington Court Albany, Georgia 31701",3014 Kensington Court,Albany,GA, 31701,4.6,76,https://cache.marriott.com/marriottassets/marriott/ABYTS/abyts-desk-0004-hor-feat.jpg?resize=375:150 undefined,31.6191327,-84.2305523
TownePlace Suites Albany Downtown/Medical Center,2,"22 Holland Avenue Albany, New York 12209",22 Holland Avenue,Albany,NY, 12209,4.5,421,https://cache.marriott.com/marriottassets/marriott/ALBMC/albmc-exterior-0035-hor-feat.jpg?resize=375:150 undefined,42.6461414,-73.7723312
Courtyard Albion,3,"200 South Superior Street Albion, Michigan 49224",200 South Superior Street,Albion,MI, 49224,4.6,147,https://cache.marriott.com/marriottassets/marriott/CY/cy-main01-0001-hor-feat.jpg?resize=375:150 undefined,42.2441933,-84.7533457
Courtyard Albuquerque,2,"5151 Journal Center Boulevard Albuquerque, New Mexico 87109",5151 Journal Center Boulevard,Albuquerque,NM, 87109,4.1,680,NULL,35.1712949,-106.5855702
Courtyard Albuquerque Airport,2,"1920 Yale Boulevard S.E. Albuquerque, New Mexico 87106",1920 Yale Boulevard S.E.,Albuquerque,NM, 87106,4.3,467,NULL,35.0603812,-106.6205765
Fairfield Inn & Suites Albuquerque Airport,2,"2300 Centre Avenue SE Albuquerque, New Mexico 87106",2300 Centre Avenue SE,Albuquerque,NM, 87106,4.2,356,NULL,35.0591803,-106.6211197
Fairfield Inn & Suites Albuquerque North,2,"4875 Pan American West Freeway NE Albuquerque, New Mexico 87109",4875 Pan American West Freeway NE,Albuquerque,NM, 87109,4.6,203,NULL,35.139841,-106.6020363
Fairfield Inn Albuquerque University Area,1,"1760 Menaul Boulevard NE Albuquerque, New Mexico 87102",1760 Menaul Boulevard NE,Albuquerque,NM, 87102,3.9,667,NULL,35.1076982,-106.6253073
Albuquerque Marriott Pyramid North,3,"5151 San Francisco Road NE Albuquerque, New Mexico 87109",5151 San Francisco Road NE,Albuquerque,NM, 87109,4,860,NULL,35.1683281,-106.5873658
Marriott Albuquerque,3,"2101 Louisiana Boulevard NE Albuquerque, New Mexico 87110",2101 Louisiana Boulevard NE,Albuquerque,NM, 87110,4.2,893,NULL,35.0992738,-106.5699165
Residence Inn Albuquerque,2,"3300 Prospect Avenue NE Albuquerque, New Mexico 87107",3300 Prospect Avenue NE,Albuquerque,NM, 87107,4.3,444,NULL,35.107087,-106.607099
Residence Inn Albuquerque Airport,3,"2301 International Ave SE Albuquerque, New Mexico 87106",2301 International Ave SE,Albuquerque,NM, 87106,4.5,407,NULL,35.062202,-106.6211193
Residence Inn Albuquerque North,3,"4331 The Lane at 25 NE Albuquerque, New Mexico 87109",4331 The Lane at 25 NE,Albuquerque,NM, 87109,4.5,304,NULL,35.1468527,-106.5921543
SpringHill Suites Albuquerque North/Journal Center,2,"5910 Holly Avenue NE Albuquerque, New Mexico 87113",5910 Holly Avenue NE,Albuquerque,NM, 87113,4.7,177,NULL,35.1753349,-106.579531
Sheraton Albuquerque Airport Hotel,3,"2910 Yale Boulevard S.E. Albuquerque, New Mexico 87106",2910 Yale Boulevard S.E.,Albuquerque,NM, 87106,4,445,NULL,35.0512227,-106.6203808
Sheraton Albuquerque Uptown,4,"2600 Louisiana Blvd NE Albuquerque, New Mexico 87110",2600 Louisiana Blvd NE,Albuquerque,NM, 87110,3.9,819,NULL,35.110205,-106.5680371
TownePlace Suites Albuquerque Airport,1,"2400 Centre Ave SE Albuquerque, New Mexico 87106",2400 Centre Ave SE,Albuquerque,NM, 87106,4.2,312,NULL,35.0590347,-106.619616
TownePlace Suites Albuquerque North,2,"5511 Office Boulevard NE Albuquerque, New Mexico 87109",5511 Office Boulevard NE,Albuquerque,NM, 87109,4.6,344,NULL,35.1415195,-106.5991539
Courtyard Knoxville Airport Alcoa,2,"141 Furrow Way Alcoa, Tennessee 37701",141 Furrow Way,Alcoa,TN, 37701,4.5,408,NULL,35.8094073,-83.9822541
"Morrison House Old Town Alexandria, Autograph Collection",5,"116 South Alfred Street Alexandria, Virginia 22314",116 South Alfred Street,Alexandria,VA, 22314,4.5,121,NULL,38.8046489,-77.0490255
"The Alexandrian Old Town Alexandria, Autograph Collection",5,"480 King Street Alexandria, Virginia 22314",480 King Street,Alexandria,VA, 22314,4.3,495,NULL,38.8043867,-77.0445632
Courtyard Alexandria,2,"3830 Alexandria Mall Drive Alexandria, Louisiana 71301",3830 Alexandria Mall Drive,Alexandria,LA, 71301,4.4,380,NULL,31.2728183,-92.461844
Courtyard Alexandria Old Town/Southwest,3,"2700 Eisenhower Avenue Alexandria, Virginia 22314",2700 Eisenhower Avenue,Alexandria,VA, 22314,4.3,686,NULL,38.8019292,-77.0793106
Courtyard Alexandria Pentagon South,3,"4641 Kenmore Avenue Alexandria, Virginia 22304",4641 Kenmore Avenue,Alexandria,VA, 22304,4,675,NULL,38.82962,-77.1108517
Fairfield Inn & Suites Alexandria,2,"2830 S. Macarthur Drive Alexandria, Louisiana 71301-2923",2830 S. Macarthur Drive,Alexandria,LA,71301,4.6,240,NULL,31.26647,-92.4597191
Fairfield Inn & Suites Alexandria,3,"6421 Richmond Highway Alexandria, Virginia 22306",6421 Richmond Highway,Alexandria,VA, 22306,4.5,103,NULL,38.7773239,-77.0792457
Fairfield Inn & Suites Alexandria,3,"4929 Sanibel Drive Alexandria, Minnesota 56308",4929 Sanibel Drive,Alexandria,MN, 56308,4.6,122,NULL,45.8467782,-95.3825847
Fairfield Inn & Suites Alexandria West/Mark Center,3,"6254 Duke Street Alexandria, Virginia 22312",6254 Duke Street,Alexandria,VA, 22312,4.1,132,NULL,38.8167204,-77.1411012
Residence Inn Alexandria Old Town South at Carlyle,3,"2345 Mill Road Alexandria, Virginia 22314",2345 Mill Road,Alexandria,VA, 22314,4.5,535,NULL,38.8027993,-77.0676442
Residence Inn Alexandria Old Town/Duke Street,3,"1456 Duke Street Alexandria, Virginia 22314",1456 Duke Street,Alexandria,VA, 22314,4.7,839,NULL,38.8034228,-77.0577956
SpringHill Suites Alexandria,3,"6065 Richmond Highway Alexandria, Virginia 22303",6065 Richmond Highway,Alexandria,VA, 22303,4.3,541,NULL,38.7852222,-77.069353
SpringHill Suites Alexandria Old Town/Southwest,3,"2950 Eisenhower Avenue Alexandria, Virginia 22314",2950 Eisenhower Avenue,Alexandria,VA, 22314,4.6,790,NULL,38.8024428,-77.083832
Sheraton Suites Old Town Alexandria,4,"801 North Saint Asaph Street Alexandria, Virginia 22314",801 North Saint Asaph Street,Alexandria,VA, 22314,4,611,NULL,38.8131003,-77.0437632
TownePlace Suites Alexandria,2,"3810 Alexandria Mall Drive Alexandria, Louisiana 71301",3810 Alexandria Mall Drive,Alexandria,LA, 71301,4.5,222,NULL,31.2736974,-92.46026
TownePlace Suites Alexandria Fort Belvoir,3,"8632 Woodlawn Court Alexandria, Virginia 22309",8632 Woodlawn Court,Alexandria,VA, 22309,4.4,198,NULL,38.7221031,-77.1236626
The Westin Alexandria Old Town,4,"400 Courthouse Square Alexandria, Virginia 22314-5700",400 Courthouse Square,Alexandria,VA,22314,4.1,682,NULL,38.8030162,-77.0652583
Renaissance ClubSport Aliso Viejo Laguna Beach Hotel,4,"50 Enterprise Aliso Viejo, California 92656",50 Enterprise,Aliso Viejo,CA, 92656,4.5,478,NULL,33.5825528,-117.73019
Courtyard Dallas Allen at Allen Event Center,2,"210 East Stacy Road Allen, Texas 75002",210 East Stacy Road,Allen,TX, 75002,4.4,828,NULL,33.1285023,-96.6542908
Delta Hotels Dallas Allen,3,"777 Watters Creek Boulevard Allen, Texas 75013",777 Watters Creek Boulevard,Allen,TX, 75013,4.5,130,NULL,33.092004,-96.6823574
Renaissance Allentown Hotel,4,"12 North 7th Street Allentown, Pennsylvania 18101",12 North 7th Street,Allentown,PA, 18101,4.6,445,https://cache.marriott.com/marriottassets/marriott/ABEBR/abebr-exterior-0002-hor-feat.jpg?resize=375:150 undefined,40.6026258,-75.4721363
Four Points by Sheraton Allentown Lehigh Valley,3,"3712 Hamilton Boulevard Allentown, Pennsylvania 18103",3712 Hamilton Boulevard,Allentown,PA, 18103,3.4,5,https://cache.marriott.com/marriottassets/marriott/FP/fp-main-001-hor-feat.jpg?resize=375:150 undefined,40.5756246,-75.5300758
"The Hotel at Avalon, Autograph Collection",4,"9000 Avalon Boulevard Alpharetta, Georgia 30009",9000 Avalon Boulevard,Alpharetta,GA, 30009,4.4,490,https://cache.marriott.com/marriottassets/marriott/ATLRE/atlre-exterior-0013-hor-feat.jpg?resize=375:150 undefined,34.0715313,-84.2725293
Courtyard Atlanta Alpharetta,3,"12655 Deerfield Parkway Alpharetta, Georgia 30004",12655 Deerfield Parkway,Alpharetta,GA, 30004,4.3,492,https://cache.marriott.com/marriottassets/marriott/ATLPH/atlph-guestroom-0066-hor-feat.jpg?resize=375:150 undefined,34.0899562,-84.2687427
Courtyard Atlanta Alpharetta/Avalon Area,3,"11700 Amber Park Drive Alpharetta, Georgia 30009",11700 Amber Park Drive,Alpharetta,GA, 30009,4.9,57,NULL,34.0675558,-84.2797257
Fairfield Inn & Suites Atlanta Alpharetta,3,"11385 Haynes Bridge Road Alpharetta, Georgia 30009",11385 Haynes Bridge Road,Alpharetta,GA, 30009,4.3,328,NULL,34.057191,-84.286069
Atlanta Marriott Alpharetta,4,"5750 Windward Parkway Alpharetta, Georgia 30005",5750 Windward Parkway,Alpharetta,GA, 30005,4.4,905,NULL,34.0900498,-84.2586632
Residence Inn Atlanta Alpharetta/North Point Mall,3,"1325 North Point Drive Alpharetta, Georgia 30022",1325 North Point Drive,Alpharetta,GA, 30022,4.2,404,NULL,34.0510971,-84.2908354
Residence Inn Atlanta Alpharetta/Windward,3,"5465 Windward Pkwy Alpharetta, Georgia 30004",5465 Windward Pkwy,Alpharetta,GA, 30004,4.6,378,NULL,34.0868773,-84.27079
SpringHill Suites Atlanta Alpharetta,3,"12730 Deerfield Parkway Alpharetta, Georgia 30004",12730 Deerfield Parkway,Alpharetta,GA, 30004,4.4,326,NULL,34.092092,-84.2717867
Aloft Alpharetta,3,"7895 North Point Parkway Alpharetta, Georgia 30022",7895 North Point Parkway,Alpharetta,GA, 30022,4.2,87,NULL,34.0390881,-84.3061295
TownePlace Suites Atlanta Alpharetta,3,"7925 Westside Parkway Alpharetta, Georgia 30009",7925 Westside Parkway,Alpharetta,GA, 30009,3.8,258,NULL,34.0609661,-84.2867579
Residence Inn Orlando Altamonte Springs/Maitland,3,"270 Douglas Avenue Altamonte Springs, Florida 32714",270 Douglas Avenue,Altamonte Springs,FL, 32714,4.1,462,NULL,28.664558,-81.3921359
SpringHill Suites Orlando Altamonte Springs/Maitland,3,"205 W. State Road 436 Altamonte Springs, Florida 32714",205 W. State Road 436,Altamonte Springs,FL, 32714,4.4,521,NULL,28.6632734,-81.391537
TownePlace Suites Orlando Altamonte Springs/Maitland,3,"151 Douglas Avenue Altamonte Springs, Florida 32714",151 Douglas Avenue,Altamonte Springs,FL, 32714,4.6,169,NULL,28.6637416,-81.3898162
Courtyard Altoona,3,"2 Convention Center Drive Altoona, Pennsylvania 16602",2 Convention Center Drive,Altoona,PA, 16602,4.2,441,NULL,40.4571974,-78.4003085
Fairfield Inn & Suites Altoona,3,"2915 Pleasant Valley Boulevard Altoona, Pennsylvania 16602",2915 Pleasant Valley Boulevard,Altoona,PA, 16602,4.8,283,NULL,40.4868061,-78.3961762
Fairfield Inn & Suites Des Moines Altoona,3,"460 Bass Pro Drive Northwest Altoona, Iowa 50009",460 Bass Pro Drive Northwest,Altoona,IA, 50009,4.8,262,NULL,41.6534653,-93.5151137
TownePlace Suites Altoona,3,"2915 Pleasant Valley Boulevard Altoona, Pennsylvania 16602",2915 Pleasant Valley Boulevard,Altoona,PA, 16602,4.7,104,NULL,40.4868061,-78.3961762
"The Barfield, Autograph Collection",3,"600 South Polk Street Amarillo, Texas 79101",600 South Polk Street,Amarillo,TX, 79101,NULL,NULL,NULL,35.2074533,-101.8370396
Courtyard Amarillo Downtown,3,"724 South Polk Street Amarillo, Texas 79101",724 South Polk Street,Amarillo,TX, 79101,4.4,556,NULL,35.2061004,-101.8377672
Courtyard Amarillo West/Medical Center,3,"8006 I-40 West Amarillo, Texas 79106",8006 I-40 West,Amarillo,TX, 79106,3.9,478,NULL,35.187322,-101.9337976
Fairfield Inn & Suites Amarillo Airport,3,"1740 Airport Boulevard Amarillo, Texas 79118",1740 Airport Boulevard,Amarillo,TX, 79118,4.4,306,NULL,35.1942513,-101.7260904
Fairfield Inn & Suites Amarillo West/Medical Center,3,"6600 Interstate 40 West Amarillo, Texas 79106",6600 Interstate 40 West,Amarillo,TX, 79106,4.4,389,NULL,35.1893588,-101.9109748
Residence Inn Amarillo,3,"6700 Interstate 40 West Amarillo, Texas 79106",6700 Interstate 40 West,Amarillo,TX, 79106,4.4,340,NULL,35.1891979,-101.9119102
SpringHill Suites Amarillo,3,"2301 Cinema Drive Amarillo, Texas 79124",2301 Cinema Drive,Amarillo,TX, 79124,4.5,313,NULL,35.1886831,-101.9319096
TownePlace Suites Amarillo West/Medical Center,NULL,"6807 Interstate 40 West Amarillo, Texas 79106",6807 Interstate 40 West,Amarillo,TX, 79106,NULL,NULL,NULL,35.0342439,-107.3756178
"The Ritz-Carlton, Amelia Island",6,"4750 Amelia Island Parkway Amelia Island, Florida 32034",4750 Amelia Island Parkway,Amelia Island,FL, 32034,4.7,644,NULL,30.5940312,-81.4450064
Fairfield Inn & Suites Napa American Canyon,4,"3800 Broadway Hwy 29 American Canyon, California 94503",3800 Broadway Hwy 29,American Canyon,CA, 94503,4.3,289,NULL,38.1755037,-122.2527971
Fairfield Inn & Suites Ames,3,"2137 Isaac Newton Dr. SE 16th St. Ames, Iowa 50010",2137 Isaac Newton Dr. SE 16th St.,Ames,IA, 50010,4.6,215,NULL,42.0088926,-93.5833667
TownePlace Suites Ames,3,"1523 South Dayton Place Ames, Iowa 50010",1523 South Dayton Place,Ames,IA, 50010,4.6,124,NULL,42.0090182,-93.5821278
Fairfield Inn Amesbury,3,"35 Clarks Road Amesbury, Massachusetts 01913",35 Clarks Road,Amesbury,MA, 01913,4,376,NULL,42.84501,-70.906334
Fairfield Inn & Suites Buffalo Amherst/University,3,"3880 Rensch Road Amherst, New York 14228",3880 Rensch Road,Amherst,NY, 14228,4.4,112,NULL,42.9960624,-78.8021807
Buffalo Marriott Niagara,4,"1340 Millersport Highway Amherst, New York 14221",1340 Millersport Highway,Amherst,NY, 14221,4.1,639,NULL,42.9883897,-78.7926531
Residence Inn Buffalo Amherst,3,"100 Maple Road Amherst, New York 14221",100 Maple Road,Amherst,NY, 14221,4.1,489,NULL,42.991866,-78.784071
"Reikart House, Buffalo, a Tribute Portfolio Hotel",4,"5000 Main Street Amherst, New York 14226",5000 Main Street,Amherst,NY, 14226,4.8,181,NULL,42.9601543,-78.7706509
Courtyard Anaheim Resort/Convention Center,5,"2045 South Harbor Blvd Anaheim, California 92802",2045 South Harbor Blvd,Anaheim,CA, 92802,4.4,737,NULL,33.7975462,-117.916616
Courtyard Anaheim Theme Park Entrance,6,"1420 South Harbor Boulevard Anaheim, California 92802",1420 South Harbor Boulevard,Anaheim,CA, 92802,4.8,1561,NULL,33.8123081,-117.9136409
Fairfield Inn Anaheim Resort,5,"1460 South Harbor Boulevard Anaheim, California 92802",1460 South Harbor Boulevard,Anaheim,CA, 92802,4.3,1748,NULL,33.8113497,-117.9137782
"JW Marriott, Anaheim Resort",7,"1775 South Clementine Street Anaheim, California 92802",1775 South Clementine Street,Anaheim,CA, 92802,NULL,NULL,NULL,33.8042122,-117.9101664
Anaheim Marriott,5,"700 West Convention Way Anaheim, California 92802",700 West Convention Way,Anaheim,CA, 92802,4.3,2549,https://www.marriott.com/Images/Brands/MHR/Multimedia/MH-Badge-EN-450x85[1].png https://cache.marriott.com/marriottassets/marriott/LAXAH/laxah-exterior-0144-hor-feat.jpg?resize=375:150 undefined,33.7984754,-117.9192248
Residence Inn at Anaheim Resort/Convention Center,6,"640 West Katella Avenue Anaheim, California 92802",640 West Katella Avenue,Anaheim,CA, 92802,4.5,1165,https://cache.marriott.com/marriottassets/marriott/SNAAR/snaar-exterior-0012-hor-feat.jpg?resize=375:150 undefined,33.8029574,-117.9171621
SpringHill Suites Anaheim Maingate,5,"1160 West Ball Road Anaheim, California 92802",1160 West Ball Road,Anaheim,CA, 92802,4.5,650,https://cache.marriott.com/marriottassets/marriott/SNAAO/snaao-entrance-0021-hor-feat.jpg?resize=375:150 undefined,33.817603,-117.9265707
SpringHill Suites at Anaheim Resort/Convention Center,5,"1801 South Harbor Boulevard Anaheim, California 92802",1801 South Harbor Boulevard,Anaheim,CA, 92802,4.3,884,https://cache.marriott.com/marriottassets/marriott/SNAAD/snaad-exterior-0007-hor-feat.jpg?resize=375:150 undefined,33.8029772,-117.9160742
Element Anaheim Resort Convention Center,5,"1600 S Clementine Street Anaheim, California 92802",1600 S Clementine Street,Anaheim,CA, 92802,NULL,NULL,NULL,33.8084986,-117.9096587
Four Points by Sheraton Anaheim,4,"1221 South Harbor Boulevard Anaheim, California 92805",1221 South Harbor Boulevard,Anaheim,CA, 92805,3.9,878,NULL,33.8174408,-117.9161583
Sheraton Park Hotel at the Anaheim Resort,5,"1855 South Harbor Boulevard Anaheim, California 92802",1855 South Harbor Boulevard,Anaheim,CA, 92802,3.9,997,NULL,33.8011859,-117.915902
TownePlace Suites Anaheim Maingate Near Angel Stadium,4,"1730 South State College Boulevard Anaheim, California 92806",1730 South State College Boulevard,Anaheim,CA, 92806,4,617,NULL,33.8049219,-117.8887855
The Westin Anaheim Resort,5,"1030 West Katella Avenue Anaheim, California 92802",1030 West Katella Avenue,Anaheim,CA, 92802,NULL,NULL,NULL,33.8030391,-117.923018
Fairfield Inn Anaheim Hills Orange County,3,"201 North Via Cortez Anaheim Hills, California 92807",201 North Via Cortez,Anaheim Hills,CA, 92807,4.1,668,NULL,33.853886,-117.7889179
Residence Inn Anaheim Hills Yorba Linda,3,"125 South Festival Drive Anaheim Hills, California 92808",125 South Festival Drive,Anaheim Hills,CA, 92808,4.3,379,NULL,33.8665795,-117.7525015
Courtyard Anchorage Airport,4,"4901 Spenard Road Anchorage, Alaska 99517-3295",4901 Spenard Road,Anchorage,AK,99517,4.4,553,NULL,61.1757188,-149.9426226
Fairfield Inn & Suites Anchorage Midtown,4,"5060 A Street Anchorage, Alaska 99503",5060 A Street,Anchorage,AK, 99503,4.2,319,NULL,61.1747761,-149.8842412
Marriott Anchorage Downtown,5,"820 West 7th Avenue Anchorage, Alaska 99501",820 West 7th Avenue,Anchorage,AK, 99501,4.3,463,NULL,61.2152673,-149.8986124
Residence Inn Anchorage Midtown,4,"1025 35th Avenue Anchorage, Alaska 99508",1025 35th Avenue,Anchorage,AK, 99508,4.4,439,NULL,61.1901306,-149.8627
SpringHill Suites Anchorage Midtown,4,"3401 A Street Anchorage, Alaska 99503",3401 A Street,Anchorage,AK, 99503,4.5,417,NULL,61.1887416,-149.882033
SpringHill Suites Anchorage University Lake,4,"4050 University Lake Drive Anchorage, Alaska 99508",4050 University Lake Drive,Anchorage,AK, 99508,4.6,689,NULL,61.1862043,-149.8059716
Four Points by Sheraton Anchorage Downtown,4,"325 West 8th Avenue Anchorage, Alaska 99501",325 West 8th Avenue,Anchorage,AK, 99501,NULL,NULL,NULL,61.2149913,-149.8884257
Sheraton Anchorage Hotel & Spa,5,"401 East 6th Avenue Anchorage, Alaska 99501",401 East 6th Avenue,Anchorage,AK, 99501,4.1,661,NULL,61.2168829,-149.8761897
TownePlace Suites Anchorage Midtown,4,"600 E. 32nd Avenue Anchorage, Alaska 99503",600 E. 32nd Avenue,Anchorage,AK, 99503,4.3,321,NULL,61.1917492,-149.8721025
Fairfield Inn & Suites Anderson,3,"2400 East 64th Street Anderson, Indiana 46013",2400 East 64th Street,Anderson,IN, 46013,4.5,135,NULL,40.0512604,-85.6497597
